row_key,key,source,famer_keys,famer_brand_list,famer_model_list,famer_model_no_list,famer_keys,famer_product_name,famer_weight,famer_digital_zoom,famer_optical_zoom,famer_height,famer_width,famer_sensor,model_no_list,famer_mpn_list,famer_ean_list
341,5f3ba61e3fd5b671b220028d,buy.net,pol426,polaroid,is426,426,pol426,polaroidis426,,,,,,,/,/,/
342,5f3ba61e3fd5b671b22002a6,buy.net,pan40,panasonic,dmczs40,40,pan40,panasoniclumixdmczs40,0.03,4.0,30.0,2.53,4.35,CMOS,/,/,/
343,5f3ba61e3fd5b671b22002bc,buy.net,son7,sony,a7,7,son7,sonyalphaa7,1.70,,2.5,,,CMOS,/,/,/
344,5f3ba61e3fd5b671b22002c7,buy.net,oly550,olympus,sp550,550,oly550,olympussp550,,,,,,,/,/,/
345,5f3ba61e3fd5b671b22002ea,buy.net,viv020,vivitar,x020,020,viv020,vivitarvivicamx020,0.04,4.0,3.0,,,,/,/,/
346,5f3ba61e3fd5b671b22002eb,buy.net,nik16,nikon,slr16,16,nik16,nikondffxformatslr16,1.56,,,4.3,5.6,CMOS,/,/,/
347,5f3ba61e3fd5b671b22002f1,buy.net,son800,sony,dscw800,800,son800,sonydscw800,0.29,10.0,5.0,0.88,2.0,CCD,/,/,/
348,5f3ba61e3fd5b671b22002f2,buy.net,fuj1,fujifilm,xm1,1,fuj1,fujifilmxm1,0.62,,,2.6,4.6,CMOS,/,/,/
349,5f3ba61e3fd5b671b2200331,buy.net,nik120,nikon,aw120,120,nik120,nikoncoolpixaw120,0.47,4.0,5.0,2.6,4.4,CMOS,/,/,/
350,5f3ba61e3fd5b671b220033b,buy.net,nik3300,nikon,d3300,3300,nik3300,nikond3300,0.94,,,3.9,4.9,CMOS,/,/,/
351,5f3ba61e3fd5b671b2200358,buy.net,can160,canon,sx160,160,can160,canonpowershotsx160,0.54,4.0,16.0,2.9,4.4,CCD,/,/,/
352,5f3ba61e3fd5b671b220035f,buy.net,fuj550,fujifilm,t550,550,fuj550,fujifilmfinepixt550,0.27,2.0,12.0,2.2,3.9,CCD,/,/,/
353,5f3ba61e3fd5b671b2200367,buy.net,son5000,sony,a5000,5000,son5000,sonya5000,0.46,4.0,3.0,2.5,4.38,CMOS,/,/,/
354,5f3ba61e3fd5b671b2200368,buy.net,nik9700,nikon,s9700,9700,nik9700,nikoncoolpixs9700,0.51,4.0,30.0,2.5,4.3,CMOS,/,/,/
355,5f3ba61e3fd5b671b2200381,buy.net,aip13,aiptek,pcm13,13,aip13,aiptekpencampcm13,0.10,,,1.3,1.2,CMOS,/,/,/
356,5f3ba61e3fd5b671b2200384,buy.net,fuj280,fujifilm,sl280,280,fuj280,fujifilmfinepixsl280,0.07,6.7,28.0,3.7,4.8,CCD,/,/,/
357,5f3ba61e3fd5b671b220038e,buy.net,can5-3,canon,5d,5-3,can5-3,canoneos5d,0.12,,,4.6,6.0,CMOS,/,/,/
358,5f3ba61e3fd5b671b22003a0,buy.net,mus830,mustek,mdc830z,830,mus830,mustekmdc830z,0.30,4.0,3.0,2.2,1.1,CCD,/,/,/
